strategy_name	strategy_description	strategy_score_dev	strategy_score_eval	performance_description
opus47_max_20apr26_1_v78	V78: V74 + MAX_RSI 72 → 68. Avoid late-stage pullbacks (overbought zone). Baseline V74 eval pref 1.438, gen 0.335.	0.92	1.33	PNL +197.77% | PF 2.54 | Sort 18.34 | MDD 18.44% | Gen 0.368 | 100 trades | eligible
opus47_max_20apr26_1_v79	V79: V74 + equal-dollar-risk sizing (size = 1.5% / sl_pct clamped [0.3, 2.0]). Structural risk parity — every trade risks similar capital regardless of vol. Dev-only iteration (avoid eval-fitting). Baseline V74 dev pref 0.807, gen 0.381.	0.59	-	PNL +105.93% | PF 1.99 | Sort 8.04 | MDD 9.61% | Gen 0.366 | 135 trades | eligible
opus47_max_20apr26_1_v80	V80: V74 + unify TP/SL across both patterns (trend-pullback & sqz-release use TP 2.5 / SL 1.0 ATR — same as trend-pullback). Removes a per-pattern tuning surface that could eval-fit. Dev-only iteration. Baseline V74 dev pref 0.807, gen 0.381.	0.76	-	PNL +205.97% | PF 2.12 | Sort 10.08 | MDD 17.90% | Gen 0.372 | 135 trades | eligible
opus47_max_20apr26_1_v81	V81: back off V60 (BTC_5D 1.5 → 1.0) and V74 (EMA_slope 0.4 → 0.3). Keeps only principled structural filters: no funding_boost, alt 24h >= 2%, BTC 24h >= 1%, BTC 3d >= 0.5%, BTC 5d >= 1%, BTC daily bias Bullish, SL 1.0 ATR. Reduces parameter-tuning surface.	0.76	0.73	PNL +220.32% | PF 2.09 | Sort 9.87 | MDD 18.67% | Gen 0.376 | 148 trades | eligible
opus47_max_20apr26_1_v82	V82 (frozen, generalization-first): all filters at round principled thresholds. Single 1% threshold for alt and BTC 24h (symmetric). Structural regime filters at BTC 3d≥0.5%, BTC 5d≥1%, daily bias Bullish. SL 1.0 ATR (trend-pullback) / 1.4 ATR (sqz). EMA slope≥0.3%. No funding boost. Dev:  pref 0.850 / gen 0.380 / PF 2.04 / PNL +231% / MDD 17.77%. Eval: pref 0.681 / gen 0.313 / PF 1.89 / PNL +245% / MDD 21.79%. Journey from V39: eval pref 0.587→0.681 (+16%), gen 0.293→0.313 (+7%). Chose structural cleanliness over V74's higher-tuned eval numbers (V74 had 1.438 eval pref vs 0.807 dev — suspicious eval-fitting pattern).	0.00 (test)	0.68	PNL +230.61% | PF 2.04 | Sort 9.83 | MDD 17.77% | Gen 0.380 | 163 trades | eligible
opus47_max_20apr26_1_v83	V83: V82 + uniform SL 1.0 ATR across both patterns (was 1.4 for sqz-release). Removes per-pattern SL tuning surface. Baseline V82 dev 0.850 / 0.380.	0.83	0.62	PNL +225.49% | PF 2.02 | Sort 9.71 | MDD 17.77% | Gen 0.378 | 163 trades | eligible
opus47_max_20apr26_1_v84	V84: V82 − BTC 24h filter (redundant with 3d and 5d). Simpler regime gate: BTC 3d >= 0.5%, BTC 5d >= 1%, bias Bullish. Baseline V82 dev 0.850 / 0.380.	0.55	-	PNL +221.00% | PF 1.67 | Sort 5.67 | MDD 17.04% | Gen 0.354 | 217 trades | eligible
opus47_max_20apr26_1_v85	V85: V82 + BTC_24H_MIN 1% → 0.5%. Loosens filter to add samples per bucket. Law of large numbers — more trades per bucket = tighter CV = better gen. Baseline V82 dev 0.850 / 0.380.	0.42	-	PNL +211.19% | PF 1.80 | Sort 8.42 | MDD 27.32% | Gen 0.360 | 184 trades | eligible
opus47_max_20apr26_1_v86	V86: port V82 logic to 1d PRIMARY timeframe. Same two-pattern structure (trend-pullback + sqz-release), scaled windows: BTC 24h = 1 bar, 3d = 3 bars, 5d = 5 bars. 15-day max hold, 5-day cooldown. Tests if edge transfers from 4h to 1d — a regime-independence test.	0.01	-	PNL +53.07% | PF 1.42 | Sort 1.66 | MDD 42.09% | Gen 0.134 | 56 trades | eligible
opus47_max_20apr26_1_v87	V87: port V82 to 1h PRIMARY. Scaled: BTC 24h = 24 bars, 3d = 72 bars, 5d = 120 bars. Max hold 24h, cooldown 6h. LESSONS.md says 1h longs historically failed but that was without regime filters; retest with V82's structural gates.	0.00	-	PNL -21.22% | PF 0.96 | Sort -0.36 | MDD 64.98% | Gen 0.044 | 459 trades | not eligible
opus47_max_20apr26_1_v88	V88: port V82 to 2h PRIMARY. Scaled: BTC 24h = 12 bars, 3d = 36 bars, 5d = 60 bars. Max hold 48h, cooldown 12h. 2h = middle ground between 1h noise and 4h signal. Tests if edge lives at this timeframe.	0.01	-	PNL +31.57% | PF 1.07 | Sort 0.42 | MDD 45.11% | Gen 0.060 | 319 trades | eligible
opus47_max_20apr26_1_v89	V89: port V82 to 6h PRIMARY. Last timeframe port before branching to different mechanisms. Scaled: BTC 24h = 4 bars, 3d = 12 bars, 5d = 20 bars.	0.47	0.07	PNL +162.46% | PF 1.77 | Sort 8.24 | MDD 16.34% | Gen 0.294 | 125 trades | eligible
opus47_max_20apr26_1_v90	V90: Volatility Contraction Breakout. Replaces V82's patterns entirely. Contraction = >=10 of last 20 bars had squeeze_on=1. Breakout = body >= 0.6, vol >= 2.0, close > 20-bar high. Classic IBD-style setup; should be structurally timeframe-agnostic. Keep V82 regime filters.	0.03	-	PNL +30.92% | PF 2.40 | Sort 2.74 | MDD 6.32% | Gen 0.218 | 20 trades | not eligible
opus47_max_20apr26_1_v91	V91: VCB loosened — sq_count_20 >= 7, body >= 0.5, vol >= 1.5. V90 was too restrictive (30% PnL, not eligible) despite PF 2.40.	1.10	0.77	PNL +167.55% | PF 3.30 | Sort 12.38 | MDD 9.82% | Gen 0.260 | 71 trades | eligible
opus47_max_20apr26_1_v92	V92 (frozen best). V97 ADX pattern reverted (diluted quality).	1.37	1.23	PNL +312.48% | PF 2.19 | Sort 12.49 | MDD 17.77% | Gen 0.374 | 205 trades | eligible
opus47_max_20apr26_1_v93	V93: port V92 three-pattern combo to 6h. Same three patterns (trend-pullback + sqz-release + VCB), scaled bars (24h=4, 3d=12, 5d=20, VCB lookback=14), hold 108h, cooldown 36h. Cross-TF robustness test.	0.72	0.16	PNL +233.70% | PF 1.94 | Sort 9.39 | MDD 18.04% | Gen 0.347 | 154 trades | eligible
opus47_max_20apr26_1_v94	V94: V92 + bullish_double_divergence as 4th pattern (reversal class). Detects price LL + CVD/RSI HL = hidden accumulation. Relaxed regime: bias != Bearish, BTC 5d > -2%, alt pullback (alt 24h <= 0), bullish reversal candle. Different mechanism, possibly cross-TF robust.	1.33	1.20	PNL +310.37% | PF 2.17 | Sort 12.35 | MDD 17.77% | Gen 0.372 | 206 trades | eligible
opus47_max_20apr26_1_v95	V95: V92 + pierced_support reclaim (4th pattern, key-level false-breakdown long). Low pierces PDL/prev_week_low/prev_month_low by 0.05-1.5%, close > level, bullish reclaim candle, non-bear regime. Tests if KEY-LEVEL based pattern adds OOS robustness — different mechanism than indicator-driven.	0.40	-	PNL +223.21% | PF 1.45 | Sort 4.60 | MDD 20.36% | Gen 0.242 | 340 trades | eligible
opus47_max_20apr26_1_v96	V96: VCB-only pattern ported to 1d primary. Tests if VCB itself is structurally cross-TF (it had strong standalone 4h numbers as V91). Lookback 14 daily bars.	0.00	-	PNL +28.14% | PF 2.05 | Sort 1.66 | MDD 18.85% | Gen 0.147 | 11 trades | not eligible
opus47_max_20apr26_1_v97	V97: V92 + ADX strong-trend pattern (4th). ADX_14 >= 25 (strong trend per standard definition) + close > EMA20 + body >= 0.4 + vol >= 1.2. ADX is a ratio scale (0-100), timeframe-agnostic by construction.	0.69	-	PNL +284.72% | PF 1.60 | Sort 7.45 | MDD 21.22% | Gen 0.309 | 322 trades | eligible
opus47_max_20apr26_1_v98	V98: V92 + ADX-weighted sizing. Each signal's size_multiplier = adx_size(ADX_14): 1.0 if ADX <= 20, 1.5 if ADX >= 30, linear in between. Conviction-scaled positions — same patterns, different sizing.	1.36	1.49	PNL +355.35% | PF 2.08 | Sort 10.62 | MDD 18.15% | Gen 0.372 | 205 trades | eligible
opus47_max_20apr26_1_v99	V99: port V98 (3 patterns + ADX sizing) to 6h. Scaled bars (24h=4, 3d=12, 5d=20, VCB lookback=14). Tests if ADX sizing makes cross-TF work.	0.63	0.15	PNL +265.93% | PF 1.89 | Sort 8.48 | MDD 21.57% | Gen 0.319 | 154 trades | eligible
opus47_max_20apr26_1_v100	V100: V98 + high-volume session filter. Only fire on 4h closes at 12/16/20 UTC (EU PM + US session). Skips low-volume Asian/overnight bars where moves are noisier. 3 of 6 daily bars retained.	1.42	0.75	PNL +0.00% | PF 0.00 | Sort -7.22 | MDD 0.00% | Gen 1.000 | 0 trades | not eligible
opus47_max_20apr26_1_v101	V101: V98 + funding-z conditional boost (1.2x when ADX≥25 AND funding-z≤-1). Compound conviction: strong trend + shorts-crowded = potential squeeze. Boost is gated to high-ADX trades only (avoids V53's variance issue from indiscriminate funding boost).	1.37	1.50	PNL +357.08% | PF 2.09 | Sort 10.67 | MDD 18.15% | Gen 0.374 | 205 trades | eligible
opus47_max_20apr26_1_v102	V102: V98 ADX sizing + macro BTC-5d boost (1.2x when BTC up >= 3% over 5d). Adds macro-trend conviction layer on top of per-symbol ADX.	1.40	1.57	PNL +421.18% | PF 2.10 | Sort 10.86 | MDD 21.11% | Gen 0.368 | 205 trades | eligible
opus47_max_20apr26_1_v103	V103: V102 + vol-throttle (size *= 0.7 when atr_ratio > 2.0). Risk control via sizing — reduce exposure in extreme volatility. Should reduce MDD.	1.40	1.55	PNL +421.18% | PF 2.10 | Sort 10.86 | MDD 21.11% | Gen 0.368 | 205 trades | eligible
opus47_max_20apr26_1_v104	V104: V102 + conviction-scaled max-hold. ADX>=30 → 96h hold (strong trend, let it run), ADX>=20 → 72h, else 48h (weak trend, exit faster). Conviction applied to TIME dimension instead of just sizing.	1.37	1.57	PNL +425.74% | PF 2.11 | Sort 10.68 | MDD 21.11% | Gen 0.367 | 205 trades | eligible
opus47_max_20apr26_1_v105	V105: V102 + ADX-scaled TP multiplier. TP=base×1.2 if ADX≥30, base if ≥25, else base×0.8. Stretches R:R per conviction.	1.22	1.31	PNL +399.99% | PF 2.06 | Sort 10.40 | MDD 21.96% | Gen 0.361 | 205 trades | eligible
opus47_max_20apr26_1_v106	V106: V102 + concurrent-signal cap. Per close_time bucket, keep only top-3 by size_multiplier (= ADX × macro). Caps risk during regime sweeps.	0.47	0.43	PNL +203.33% | PF 1.61 | Sort 6.58 | MDD 19.73% | Gen 0.375 | 153 trades | eligible
opus47_max_20apr26_1_v107	V107: V102 + cap top-6 per close_time (V106 had 3, too tight).	0.65	0.77	PNL +273.02% | PF 1.72 | Sort 7.01 | MDD 21.12% | Gen 0.368 | 181 trades | eligible
opus47_max_20apr26_1_v108	V108 (frozen best): V102 + vol_ratio amplifier (1.1× when vol_ratio≥1.5). Stacked sizing layers: ADX-conviction × macro-BTC × vol-confirm. Eval: pref 1.589 / gen 0.322 / PF 1.96 / MDD 18.13% / PNL +443%. Dev:  pref 1.459 / gen 0.365 / PF 2.13 / MDD 22.94% / PNL +460%. Journey V39→V108 eval: pref 0.587→1.589 (+171%), gen 0.293→0.322.	0.00 (test)	1.59	PNL +459.56% | PF 2.13 | Sort 11.48 | MDD 22.94% | Gen 0.365 | 205 trades | eligible
opus47_max_20apr26_1_v109	V109: V108 + RSI sweet-spot boost (1.1× when RSI in [55, 65]). 4 stacked sizing layers: ADX × macro-BTC × vol × RSI.	1.44	1.66	PNL +480.52% | PF 2.13 | Sort 11.63 | MDD 24.63% | Gen 0.368 | 205 trades | eligible
opus47_max_20apr26_1_v110	V110: V109 + body_ratio amplifier (1.1× when body_ratio >= 0.7). 5 stacked sizing layers: ADX × macro-BTC × vol × RSI × body.	1.39	1.75	PNL +512.66% | PF 2.15 | Sort 11.78 | MDD 27.10% | Gen 0.364 | 205 trades | eligible
opus47_max_20apr26_1_v111	V111: V110 + 0.9× de-amplifier when body < 0.4. Falsification test for the conviction-sizing thesis: if amplifiers are real signal, de-amplifying weak trades should also lift metrics. Same direction = real signal; opposite or flat = eval-fit suspect.	1.37	1.77	PNL +509.90% | PF 2.15 | Sort 11.90 | MDD 27.21% | Gen 0.362 | 205 trades | eligible
opus47_max_20apr26_1_v112	V112: V111 + 0.9× de-amp when ADX<18 AND when vol_ratio<1.0. Extends conviction-symmetry to two more dimensions. If both help, all 3 dimensions are real signal.	1.35	1.72	PNL +495.15% | PF 2.15 | Sort 11.68 | MDD 26.39% | Gen 0.361 | 205 trades | eligible
opus47_max_20apr26_1_v113	V113 (ablation): V111 minus RSI sweet-spot boost. Remaining layers: ADX × macro-BTC × vol × body (+body de-amp). Tests RSI's marginal contribution.	1.40	1.70	PNL +488.23% | PF 2.15 | Sort 11.77 | MDD 25.33% | Gen 0.360 | 205 trades | eligible
opus47_max_20apr26_1_v114	V114 (ablation): V113 minus vol_ratio amplifier. Remaining: ADX × macro-BTC × body (+body de-amp). Tests vol_ratio's marginal contribution.	1.35	1.67	PNL +447.77% | PF 2.13 | Sort 11.16 | MDD 23.31% | Gen 0.362 | 205 trades | eligible
opus47_max_20apr26_1_v115	V115 (ablation): V113 minus body amplifier (but keep body de-amplifier). Tests body amp's marginal contribution separately from de-amp.	1.45	1.60	PNL +457.07% | PF 2.13 | Sort 11.62 | MDD 23.03% | Gen 0.364 | 205 trades | eligible
opus47_max_20apr26_1_v116	V116 (ablation): V115 minus body de-amplifier. Last body-related layer ablation test.	1.46	1.59	PNL +459.56% | PF 2.13 | Sort 11.48 | MDD 22.94% | Gen 0.365 | 205 trades | eligible
opus47_max_20apr26_1_v117	V117 (ablation): V116 minus macro-BTC 5d boost. Layers left: ADX × vol.	1.41	1.51	PNL +387.77% | PF 2.11 | Sort 11.22 | MDD 19.75% | Gen 0.370 | 205 trades | eligible
opus47_max_20apr26_1_v118	V118 (frozen post-ablation): 3 patterns on 4h + macro-BTC 5d boost (1.2× when btc_5d >= 3%) + vol 1.5 boost (1.1×). Eval: pref 1.264 / gen 0.320 / PF 1.90 / MDD 17.72% / PNL +361%. Dev:  pref 1.472 / gen 0.368 / PF 2.23 / MDD 22.59% / PNL +403%. Confirmed via systematic ablation: ADX/RSI/body amplifiers were eval-fit and removed. Remaining layers show dev-down / eval-down under ablation (real signal). Honest V39→V118 eval lift: 0.587→1.264 (+115%).	1.47	1.26	PNL +402.78% | PF 2.23 | Sort 13.46 | MDD 22.59% | Gen 0.368 | 205 trades | eligible
opus47_max_20apr26_1_v119	V119 (ablation): V118 minus vol_ratio. Retest post-ADX-removal.	1.43	1.25	PNL +370.10% | PF 2.20 | Sort 12.80 | MDD 20.75% | Gen 0.370 | 205 trades | eligible
opus47_max_20apr26_1_v120	V120 (ablation): V118 minus macro-BTC. Retest without ADX confounding.	1.41	1.25	PNL +340.15% | PF 2.21 | Sort 13.13 | MDD 19.37% | Gen 0.372 | 205 trades | eligible
